Job started on Wed May 27 16:33:19 CEST 2026
Running in /work/home/ng66sume/Eigenvalue/Briggs
[0001] jump=3.865e-03 | dUL=3.481e+00 | dUF=1.714e-01 | dLF=3.273e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0002] jump=3.997e-03 | dUL=3.475e+00 | dUF=1.651e-01 | dLF=3.273e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0003] jump=3.997e-03 | dUL=3.469e+00 | dUF=1.587e-01 | dLF=3.273e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0004] jump=3.997e-03 | dUL=3.463e+00 | dUF=1.523e-01 | dLF=3.273e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0005] jump=3.997e-03 | dUL=3.457e+00 | dUF=1.458e-01 | dLF=3.273e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0006] jump=3.997e-03 | dUL=3.451e+00 | dUF=1.393e-01 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0007] jump=3.997e-03 | dUL=3.445e+00 | dUF=1.327e-01 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0008] jump=3.997e-03 | dUL=3.439e+00 | dUF=1.261e-01 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0009] jump=3.997e-03 | dUL=3.433e+00 | dUF=1.194e-01 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0010] jump=3.997e-03 | dUL=3.427e+00 | dUF=1.127e-01 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0011] jump=3.997e-03 | dUL=3.420e+00 | dUF=1.058e-01 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0012] jump=3.997e-03 | dUL=3.414e+00 | dUF=9.898e-02 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0013] jump=3.997e-03 | dUL=3.408e+00 | dUF=9.206e-02 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0014] jump=3.997e-03 | dUL=3.401e+00 | dUF=8.505e-02 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0015] jump=3.997e-03 | dUL=3.395e+00 | dUF=7.799e-02 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0016] jump=3.997e-03 | dUL=3.388e+00 | dUF=7.088e-02 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0017] jump=3.997e-03 | dUL=3.381e+00 | dUF=6.373e-02 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0018] jump=3.997e-03 | dUL=3.374e+00 | dUF=5.656e-02 | dLF=3.274e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0019] jump=3.997e-03 | dUL=3.368e+00 | dUF=4.939e-02 | dLF=3.273e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0020] jump=3.997e-03 | dUL=3.361e+00 | dUF=4.229e-02 | dLF=3.273e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0021] jump=3.998e-03 | dUL=3.354e+00 | dUF=3.535e-02 | dLF=3.272e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0022] jump=3.998e-03 | dUL=3.347e+00 | dUF=2.877e-02 | dLF=3.271e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0023] jump=3.998e-03 | dUL=3.339e+00 | dUF=2.301e-02 | dLF=3.269e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0024] jump=3.998e-03 | dUL=3.332e+00 | dUF=1.913e-02 | dLF=3.265e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0025] jump=3.998e-03 | dUL=3.325e+00 | dUF=1.861e-02 | dLF=3.258e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0026] jump=3.998e-03 | dUL=3.318e+00 | dUF=1.872e-02 | dLF=3.249e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0027] jump=3.998e-03 | dUL=3.311e+00 | dUF=1.841e-02 | dLF=3.242e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0028] jump=3.998e-03 | dUL=3.303e+00 | dUF=1.832e-02 | dLF=3.234e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0029] jump=3.998e-03 | dUL=3.296e+00 | dUF=1.779e-02 | dLF=3.226e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0030] jump=3.998e-03 | dUL=3.288e+00 | dUF=1.740e-02 | dLF=3.217e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0031] jump=3.999e-03 | dUL=3.281e+00 | dUF=1.677e-02 | dLF=3.209e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0032] jump=3.999e-03 | dUL=3.273e+00 | dUF=1.592e-02 | dLF=3.201e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0033] jump=3.999e-03 | dUL=3.333e+00 | dUF=2.177e-02 | dLF=3.192e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0034] jump=3.999e-03 | dUL=3.329e+00 | dUF=2.128e-02 | dLF=3.193e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0035] jump=1.757e-03 | dUL=3.327e+00 | dUF=2.424e-02 | dLF=3.193e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0036] jump=7.461e-05 | dUL=3.327e+00 | dUF=2.766e-02 | dLF=3.193e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0037] jump=1.559e-04 | dUL=3.327e+00 | dUF=3.024e-02 | dLF=3.193e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0038] jump=4.831e-05 | dUL=3.327e+00 | dUF=3.202e-02 | dLF=3.193e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
[0039] jump=1.260e-04 | dUL=3.327e+00 | dUF=3.344e-02 | dLF=3.194e+00 | dtF=1.000e-03 | dtω=1.000e-03 | facω= 1.000 | ζ=4.000e-04 | accepted/accepted
Job ended on Wed May 27 16:49:39 CEST 2026
